# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 27 Jun 2022 03:06:31 +0200
#
# IP	number of (black)lists
#
103.251.167.21	9
171.25.193.77	9
171.25.193.78	9
185.130.44.108	8
185.196.220.81	8
107.152.217.2	8
179.60.147.74	8
45.61.188.110	7
162.247.74.74	7
62.197.136.10	7
192.42.116.16	7
185.220.102.4	7
185.220.102.8	7
185.220.101.16	7
193.106.191.80	7
185.220.102.6	7
185.129.62.63	7
185.129.62.62	7
222.186.19.205	7
198.98.51.189	7
91.240.118.105	6
89.234.157.254	6
45.61.184.111	6
91.250.242.12	6
195.176.3.20	6
172.104.159.48	6
185.36.81.95	6
68.183.188.159	6
185.220.102.246	6
185.220.102.241	6
185.195.71.2	6
185.107.47.171	6
185.220.101.4	6
185.220.101.1	6
92.255.85.69	6
165.227.124.168	6
178.20.55.18	6
178.20.55.16	6
20.210.53.189	6
144.172.73.66	6
185.220.100.255	6
185.220.100.254	6
209.141.41.103	6
199.249.230.87	6
198.96.155.3	6
61.177.172.61	6
192.42.116.18	6
182.73.123.118	6
155.4.245.107	6
162.247.74.27	6
36.110.228.254	6
162.247.74.217	6
171.25.193.235	6
61.177.173.47	6
171.25.193.20	6
171.25.193.25	6
31.24.148.37	6
185.247.226.98	6
46.232.251.191	6
179.43.155.196	6
37.0.11.224	6
45.61.185.160	6
185.220.102.253	6
185.220.102.250	6
80.67.172.162	6
45.61.185.146	6
36.80.48.9	6
92.255.85.70	6
185.220.101.57	6
62.102.148.69	6
185.220.102.245	6
61.177.172.98	6
2.56.59.199	6
118.40.248.20	6
185.220.101.36	6
5.2.70.223	6
195.206.105.217	6
185.220.101.17	6
116.105.23.235	6
185.34.33.2	6
37.123.163.58	6
209.141.57.178	6
61.177.173.35	6
62.204.41.56	6
185.243.218.27	6
192.42.116.24	5
112.220.238.3	5
163.44.197.129	5
178.62.81.147	5
110.35.173.103	5
183.136.225.42	5
95.50.91.18	5
128.31.0.13	5
218.92.0.221	5
42.200.71.74	5
162.247.74.202	5
162.247.74.200	5
162.247.74.206	5
106.12.201.95	5
185.243.218.46	5
178.17.171.102	5
211.253.10.96	5
103.136.42.230	5
167.172.98.89	5
2.42.138.122	5
109.70.100.25	5
109.70.100.24	5
109.70.100.26	5
109.70.100.20	5
109.70.100.23	5
109.70.100.22	5
109.70.100.28	5
144.172.73.16	5
157.245.252.34	5
101.255.81.91	5
179.27.60.34	5
149.56.44.47	5
92.246.84.133	5
161.35.235.27	5
128.199.167.161	5
195.176.3.23	5
195.176.3.24	5
167.71.67.103	5
61.177.173.51	5
61.177.173.50	5
61.177.173.53	5
61.177.173.52	5
218.255.245.10	5
193.142.146.213	5
167.172.246.83	5
185.220.102.244	5
185.220.102.248	5
96.84.149.98	5
60.196.69.234	5
188.166.1.95	5
134.17.16.152	5
82.200.65.218	5
157.230.218.88	5
104.248.244.119	5
139.59.3.114	5
103.251.167.10	5
182.75.139.26	5
185.220.101.33	5
43.155.69.70	5
185.220.101.9	5
185.220.101.8	5
61.177.172.114	5
89.58.42.239	5
186.122.149.6	5
161.35.236.24	5
185.129.61.129	5
83.137.158.5	5
185.220.101.42	5
120.88.46.226	5
93.108.242.140	5
103.92.26.252	5
23.154.177.3	5
96.56.221.138	5
165.227.25.154	5
222.255.115.237	5
185.220.101.66	5
185.220.101.65	5
137.184.184.169	5
107.189.31.134	5
138.68.178.64	5
46.101.207.32	5
125.141.139.9	5
81.17.18.62	5
208.180.16.38	5
193.218.118.158	5
118.27.35.131	5
194.26.192.172	5
54.36.108.162	5
185.220.100.250	5
185.220.100.253	5
185.220.100.252	5
103.251.167.20	5
64.185.3.117	5
109.227.63.3	5
116.55.245.26	5
188.254.0.2	5
46.101.29.76	5
201.222.57.21	5
185.220.101.56	5
114.141.132.88	5
83.137.158.6	5
157.245.161.35	5
185.220.101.24	5
192.42.116.13	5
192.42.116.19	5
138.197.129.38	5
166.70.207.2	5
165.22.16.134	5
94.102.56.9	5
51.89.138.51	5
175.207.13.22	5
185.220.102.7	5
167.99.169.17	5
201.72.190.98	5
185.220.101.179	5
223.197.186.7	5
190.145.81.37	5
159.89.47.106	5
91.219.236.197	5
117.50.119.185	5
185.220.101.157	5
222.180.208.14	5
203.228.4.111	5
204.85.191.9	5
128.199.177.224	5
190.226.244.9	5
50.192.223.205	5
159.203.102.122	5
36.66.151.17	5
198.98.55.154	5
111.95.141.34	5
185.220.103.7	5
61.177.173.62	5
104.244.76.203	5
101.231.146.34	5
124.160.96.249	5
89.58.30.164	5
185.14.97.176	5
162.247.74.216	5
178.73.215.171	5
179.43.176.53	5
138.197.203.168	5
222.124.214.10	5
203.135.20.36	5
61.177.173.46	5
61.177.173.48	5
139.198.174.152	5
185.100.86.74	5
118.212.146.43	5
45.154.255.138	5
83.137.158.15	5
142.93.8.99	5
212.33.250.241	5
167.86.94.107	5
71.6.146.130	5
199.249.230.69	5
205.185.123.128	5
185.233.100.23	5
94.153.212.78	5
185.107.47.215	5
95.214.54.102	5
138.197.184.178	5
103.253.147.160	5
167.99.67.171	5
159.203.72.14	5
206.189.87.108	5
204.8.156.142	5
200.70.56.204	5
146.59.233.33	5
60.241.81.42	5
61.177.172.108	5
162.142.125.212	5
23.154.177.9	5
104.248.232.207	5
103.113.0.2	5
223.197.175.91	5
185.220.101.54	5
159.65.111.89	5
193.169.255.234	5
198.199.87.195	5
62.28.222.221	5
61.177.172.124	5
167.248.133.44	5
31.184.198.71	5
104.244.72.129	5
163.53.177.36	5
95.128.43.164	5
62.102.148.68	5
147.182.139.154	5
87.118.116.103	5
185.170.114.125	5
36.66.211.7	5
104.131.45.150	5
104.244.76.13	5
185.220.101.61	5
193.239.232.102	5
213.252.140.118	5
45.80.64.246	5
185.129.61.4	5
201.217.159.155	5
123.212.190.82	5
185.220.102.240	5
61.177.173.39	5
185.220.100.244	5
185.220.100.249	5
185.220.101.13	5
185.220.101.11	5
185.165.190.34	5
117.232.127.51	5
68.183.88.186	5
116.105.21.167	5
45.61.187.12	5
134.122.8.241	5
206.189.198.55	5
195.29.102.42	5
95.214.54.56	5
118.145.8.50	5
171.244.139.236	5
185.220.101.38	5
185.220.101.32	5
192.42.116.25	5
89.58.16.21	5
221.122.107.252	5
134.209.210.254	5
95.214.54.108	5
167.99.66.74	5
128.199.170.33	5
167.94.138.46	5
185.220.101.12	5
31.7.58.162	5
128.199.173.206	5
82.223.14.245	5
59.63.205.47	5
185.220.101.149	5
185.220.101.141	5
163.172.213.212	5
61.177.173.36	5
116.132.47.50	5
124.137.205.59	5
185.220.103.113	5
142.4.205.238	5
61.177.172.19	5
103.240.110.130	4
193.151.134.158	4
179.43.187.173	4
138.197.195.123	4
81.46.246.164	4
195.19.4.22	4
200.89.178.194	4
104.244.74.57	4
68.183.105.114	4
138.68.10.182	4
157.230.250.192	4
23.154.177.10	4
68.168.142.91	4
45.119.9.158	4
180.76.124.150	4
45.240.88.36	4
41.185.26.240	4
211.193.31.52	4
128.199.99.204	4
66.146.193.33	4
103.41.213.70	4
186.136.116.210	4
80.82.77.33	4
212.205.99.56	4
144.86.151.157	4
64.227.120.10	4
91.89.126.40	4
37.120.160.110	4
222.173.82.126	4
128.199.74.173	4
195.154.50.161	4
157.230.47.241	4
175.126.146.152	4
196.0.120.211	4
159.203.85.196	4
140.206.242.34	4
162.243.91.84	4
159.65.148.176	4
157.230.155.135	4
165.227.84.172	4
60.30.98.194	4
107.189.14.132	4
162.247.74.201	4
159.65.41.104	4
159.65.180.64	4
159.223.70.83	4
203.245.29.159	4
43.225.158.223	4
190.144.79.157	4
67.207.119.170	4
45.155.204.3	4
101.36.178.48	4
51.15.80.14	4
185.243.218.41	4
159.89.236.71	4
64.62.197.137	4
94.102.56.10	4
217.79.179.7	4
39.109.113.50	4
123.122.160.70	4
112.28.209.66	4
154.92.23.156	4
139.59.169.103	4
137.184.130.78	4
187.95.124.103	4
43.128.48.80	4
103.31.38.148	4
167.172.101.212	4
67.207.83.91	4
139.59.102.170	4
129.213.96.52	4
198.98.57.207	4
61.157.18.2	4
170.210.83.90	4
147.182.194.110	4
96.93.196.89	4
128.199.32.98	4
124.152.76.174	4
91.92.109.43	4
103.215.139.109	4
